,Apartment_link,Education Index,Latitude,Longitude,Price Index,Safety Index,Transport Index,Apt Score,5_STAR_CLASSIFICATION
5,https://washingtondc.craigslist.org/doc/apa/5309037585.html,4.077455023645419,38.8801,-76.93230299999998,4.576271186440678,3.663265306122449,5.0,49.20071512282142,4.472792283892856
25,https://washingtondc.craigslist.org/doc/apa/5307285254.html,3.9103231587051033,38.844595,-76.993884,5.0,3.8979591836734695,4.138551618181196,48.044583514332366,4.367689410393851
1,https://washingtondc.craigslist.org/doc/apa/5332293238.html,3.6978145917355527,38.9071923,-77.03687070000001,4.88135593220339,3.214285714285715,4.121468337229823,46.19755822999541,4.199778020908673
29,https://washingtondc.craigslist.org/doc/apa/5331931953.html,4.592185141320637,38.895812400000004,-76.9489274,3.8169491525423727,1.5306122448979598,4.87759783483858,45.2077577835451,4.109796162140463
11,https://washingtondc.craigslist.org/doc/apa/5332153114.html,4.324882919185314,38.90093579999999,-76.985929,2.8813559322033893,4.132653061224491,4.8053070571687675,43.04864671910029,3.913513338100026
2,https://washingtondc.craigslist.org/doc/apa/5332268061.html,4.286084279925334,38.833181200000006,-76.99987209999998,4.067796610169491,3.1938775510204076,3.5565932361569494,42.99309653994523,3.9084633218132026
22,https://washingtondc.craigslist.org/doc/apa/5332060495.html,3.6978145917355527,38.9071923,-77.03687070000001,3.9999999999999996,3.214285714285715,4.121468337229823,42.672134501181844,3.879284954652895
20,https://washingtondc.craigslist.org/doc/apa/5332019391.html,4.384316873550949,38.8367872,-77.0021071,4.135593220338983,3.612244897959184,3.1024281949547414,42.61485298483218,3.874077544075653
16,https://washingtondc.craigslist.org/doc/apa/5332126696.html,4.365986826111253,38.857296399999996,-76.980463,3.050847457627119,3.5816326530612246,4.433424687264326,42.183257023696434,3.8348415476087667
36,https://washingtondc.craigslist.org/doc/apa/5331917759.html,3.7514207936531,38.913821,-77.001558,3.559322033898305,3.9591836734693877,4.224255556286595,42.12350085888169,3.8294091689892444
